time,condition_type,condition_value,area_bin,frequency
day4,cn_ratio,2,2950,0.000212269
day4,cn_ratio,2,3050,0.000424538
day4,cn_ratio,2,3150,0.000106135
day4,cn_ratio,2,3250,0.000212269
day4,cn_ratio,2,3350,0.000106135
day4,cn_ratio,2,3450,0.000212269
day4,cn_ratio,3,550,0.01006225
day4,cn_ratio,3,650,0.017395753
day4,cn_ratio,3,750,0.021318325
day4,cn_ratio,3,850,0.030783662
day4,cn_ratio,3,950,0.031977488
day4,cn_ratio,3,1050,0.045877036
day4,cn_ratio,3,1150,0.059520764
day4,cn_ratio,3,1250,0.077342884
day4,cn_ratio,3,1350,0.08885478
day4,cn_ratio,3,1450,0.102157415
day4,cn_ratio,3,1550,0.09712629
day4,cn_ratio,3,1650,0.091327705
day4,cn_ratio,3,1750,0.085358574
day4,cn_ratio,3,1850,0.068218641
day4,cn_ratio,3,1950,0.052613627
day4,cn_ratio,3,2050,0.040760638
day4,cn_ratio,3,2150,0.029078196
day4,cn_ratio,3,2250,0.018163213
day4,cn_ratio,3,2350,0.012961542
day4,cn_ratio,3,2450,0.006480771
day4,cn_ratio,3,2550,0.004434212
day4,cn_ratio,3,2650,0.003410932
day4,cn_ratio,3,2750,0.001790739
day4,cn_ratio,3,2850,0.00102328
day4,cn_ratio,3,2950,0.000682186
day4,cn_ratio,3,3050,0.00051164
day4,cn_ratio,3,3150,0.00025582
day4,cn_ratio,3,3250,0.00025582
day4,cn_ratio,3,3350,8.53E-05
day4,cn_ratio,3,3450,0.000170547
day4,cn_ratio,4,550,0.006690055
day4,cn_ratio,4,650,0.010361426
day4,cn_ratio,4,750,0.020641266
day4,cn_ratio,4,850,0.041608877
day4,cn_ratio,4,950,0.080688586
day4,cn_ratio,4,1050,0.119523538
day4,cn_ratio,4,1150,0.146773272
day4,cn_ratio,4,1250,0.148649751
day4,cn_ratio,4,1350,0.129069103
day4,cn_ratio,4,1450,0.102227299
day4,cn_ratio,4,1550,0.075140736
day4,cn_ratio,4,1650,0.047809415
day4,cn_ratio,4,1750,0.028391939
day4,cn_ratio,4,1850,0.019091132
day4,cn_ratio,4,1950,0.009790324
day4,cn_ratio,4,2050,0.004813576
day4,cn_ratio,4,2150,0.002773925
day4,cn_ratio,4,2250,0.001631721
day4,cn_ratio,4,2350,0.001631721
day4,cn_ratio,4,2450,0.000652688
day4,cn_ratio,4,2550,0.000489516
day4,cn_ratio,4,2650,0.000489516
day4,cn_ratio,4,2750,0.000489516
day4,cn_ratio,4,2850,0.000326344
day4,cn_ratio,4,2950,0
day4,cn_ratio,4,3050,8.16E-05
day4,cn_ratio,4,3150,8.16E-05
day4,cn_ratio,4,3250,0
day4,cn_ratio,4,3350,0
day4,cn_ratio,4,3450,8.16E-05
day4,cn_ratio,5,550,0.005581473
day4,cn_ratio,5,650,0.007830723
day4,cn_ratio,5,750,0.015494835
day4,cn_ratio,5,850,0.026741086
day4,cn_ratio,5,950,0.047984005
day4,cn_ratio,5,1050,0.081389537
day4,cn_ratio,5,1150,0.109380207
day4,cn_ratio,5,1250,0.126957681
day4,cn_ratio,5,1350,0.125541486
day4,cn_ratio,5,1450,0.118960347
day4,cn_ratio,5,1550,0.097884039
day4,cn_ratio,5,1650,0.079390203
day4,cn_ratio,5,1750,0.05898034
day4,cn_ratio,5,1850,0.038487171
day4,cn_ratio,5,1950,0.026157947
day4,cn_ratio,5,2050,0.014661779
day4,cn_ratio,5,2150,0.008580473
day4,cn_ratio,5,2250,0.0044985
day4,cn_ratio,5,2350,0.002165945
day4,cn_ratio,5,2450,0.001249583
day4,cn_ratio,5,2550,0.000583139
day4,cn_ratio,5,2650,0.000333222
day4,cn_ratio,5,2750,0.000583139
day4,cn_ratio,5,2850,0.000499833
day4,cn_ratio,5,2950,8.33E-05
day4,cn_ratio,5,3050,0
day4,cn_ratio,5,3150,0
day4,cn_ratio,5,3250,0
day4,cn_ratio,5,3350,0
day4,cn_ratio,5,3450,0
day4,cn_ratio,6,550,0.010737362
day4,cn_ratio,6,650,0.014063094
day4,cn_ratio,6,750,0.017246294
day4,cn_ratio,6,850,0.020857089
day4,cn_ratio,6,950,0.022567465
day4,cn_ratio,6,1050,0.026653364
day4,cn_ratio,6,1150,0.036868111
