sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
8403,0088_masks.tif,152,18771.0,1149.5807358037437,391.8872661274319,66.8709528534303,5.860351160037779,0.9853337462504288,-62.988454502181845,4041.8460923765374,3540.772841084652,8157,0.4345533003036599,190.34104919433597,189.2963104248047,152.66998291015625
8404,0088_masks.tif,153,22564.0,934.0832611206852,358.1860228671382,86.64749065730592,4.133830306566838,0.9702995900942178,89.95444926757266,4302.872584648112,3510.4127371033505,8463,0.3750664775748981,174.71263122558594,171.11532592773438,135.05198669433594
8405,0088_masks.tif,154,15184.0,750.4680374315354,250.51372829003316,81.74458892223348,3.064590960612154,0.9452635641232572,-51.26297051780197,3037.661880927292,3576.31197312961,5755,0.3790173867228661,177.7351837158203,176.33206176757812,139.14613342285156
8406,0088_masks.tif,155,19184.0,996.0832611206852,392.2582578337671,71.03062227094551,5.5223823935753,0.9834681361318912,-82.05462972933745,198.19130525437865,3596.509226438699,8093,0.4218619683069224,170.32064819335938,169.71011352539062,139.65501403808594
8407,0089_masks.tif,1,8067.0,545.840620433566,187.40302418750665,61.29299289513878,3.057495079545541,0.9450018022359176,-31.823406100764043,653.9660344613859,65.47068302962687,2332,0.2890789636791868,170.78086853027344,172.94725036621094,120.81131744384766
8408,0089_masks.tif,2,8427.0,543.1126983722081,193.7586959486064,62.970585078829465,3.076971505124978,0.9457157738032298,8.287768342887327,853.3138720778451,75.57754835647324,3383,0.4014477275424231,167.51226806640625,166.96304321289062,126.40792083740234
8409,0089_masks.tif,3,11969.0,647.9827560572969,223.8316918875926,75.35192440555225,2.970484080577771,0.9416314723216864,-48.60402504809333,1648.667390759462,67.34982036928733,1168,0.0975854290249812,159.11473083496094,156.3150634765625,120.14554595947266
8410,0089_masks.tif,4,24544.0,1174.3259018078045,481.5358022330441,67.3040632611014,7.154631962782984,0.9901840539894856,12.351013528965586,2010.9952330508477,238.90017926988267,9492,0.3867340286831812,176.6904754638672,173.40139770507812,125.46670532226562
8411,0089_masks.tif,5,14200.0,921.7817459305202,345.9176265162889,54.58418406428093,6.33732339222878,0.9874718404200798,-63.497437701684646,3324.394366197183,93.81267605633803,116,0.008169014084507,247.8189697265625,244.9224090576172,203.14654541015625
8412,0089_masks.tif,6,24473.0,1265.9655121145938,462.52762451291545,72.17810507085238,6.408143079662223,0.9877489285730509,-61.31995180630379,3419.5779021779103,115.10252114575246,5681,0.2321333714706002,181.19186401367188,173.6204833984375,136.09205627441406
8413,0089_masks.tif,7,19687.0,918.5269119345812,383.0805268654433,68.09851034094255,5.625387764688379,0.9840728726625932,-1.2822934873034522,910.3796921826586,249.08462437141264,8050,0.4088992736323462,172.87466430664062,169.12857055664062,130.8772735595703
8414,0089_masks.tif,8,18983.0,964.8700576850888,425.3462783996959,61.757617529470025,6.8873492115644765,0.9894032431083162,-5.365378002803428,3090.6853500500447,277.74192698730445,8611,0.45361639361534,189.17547607421875,185.02345275878903,150.9795684814453
8415,0089_masks.tif,9,15132.0,795.9411254969543,325.5853596659366,62.11607600653654,5.241563546797047,0.9816322812476956,-8.685312359037907,3143.1573486650805,274.1677240285488,4555,0.3010177108115252,183.4169006347656,180.03973388671875,134.97409057617188
8416,0089_masks.tif,10,21281.0,974.284271247462,429.4121753828849,65.94577444391497,6.5115950036812125,0.9881374286923232,-88.41354087267794,644.4540670081293,181.45928292843385,7717,0.362623936845073,173.09913635253906,171.95892333984375,134.90060424804688
8417,0089_masks.tif,11,22386.0,1171.865007051205,401.2917581771777,72.36788528880919,5.545163529038931,0.9836048222982904,-49.33160347199649,3285.3384258018405,286.9429554185652,7710,0.3444116858751005,183.25628662109372,177.34902954101562,119.63086700439452
8418,0089_masks.tif,12,19166.0,966.953318805774,360.4453977263688,69.17648550758302,5.210519081471078,0.9814106793258002,-23.46940558640364,5331.87227381822,345.9277366169258,5063,0.264165710111656,165.3221435546875,160.35275268554688,132.93145751953125
8419,0089_masks.tif,13,28213.0,1269.7401153701776,531.7639633179899,71.79410614267377,7.406791335506498,0.9908440685021804,-79.73799428295696,4315.068904405771,331.8571580477085,10396,0.3684826143976181,181.06570434570312,179.15794372558594,130.73057556152344
8420,0089_masks.tif,14,20278.0,927.5979797464466,384.6750364948074,68.10032251837183,5.648652198248127,0.9842048474824372,-84.86441230749868,641.0673143308019,345.4106913896834,8202,0.4044777591478449,175.5643768310547,175.2426300048828,135.02438354492188
