time,area_bin,frequency,condition
20250423,1950,0.046018861,5PM_#4
20250423,2050,0.029843619,5PM_#4
20250423,2150,0.023636147,5PM_#4
20250423,2250,0.016354303,5PM_#4
20250423,2350,0.012235884,5PM_#4
20250423,2450,0.008057777,5PM_#4
20250423,2550,0.007281843,5PM_#4
20250423,2650,0.005013728,5PM_#4
20250423,2750,0.003521547,5PM_#4
20250423,2850,0.003521547,5PM_#4
20250423,2950,0.002566551,5PM_#4
20250423,3050,0.003282798,5PM_#4
20250423,3150,0.002626239,5PM_#4
20250423,3250,0.001969679,5PM_#4
20250423,3350,0.001611555,5PM_#4
20250423,3450,0.00173093,5PM_#4
20250424,550,0.005808235,5PM_#1
20250424,650,0.010164411,5PM_#1
20250424,750,0.015223195,5PM_#1
20250424,850,0.020750386,5PM_#1
20250424,950,0.028432245,5PM_#1
20250424,1050,0.041781816,5PM_#1
20250424,1150,0.058738114,5PM_#1
20250424,1250,0.089652911,5PM_#1
20250424,1350,0.108482833,5PM_#1
20250424,1450,0.119771418,5PM_#1
20250424,1550,0.117101504,5PM_#1
20250424,1650,0.101690946,5PM_#1
20250424,1750,0.081971053,5PM_#1
